Оффсетная печать. МП. ПдП                   ;1;0.200;0.200;0.150;0.150;0.100;0.100;0.070;0.050;0.050;0.030;0.030
Шелкография                                 ;1;0.100;0.100;0.100;0.070;0.050;0.050;0.050;0.030;0.020;0.020;0.020
Голограмма VISA/CUP/МИР                     ;1;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020
Голограмма MC                               ;1;0.060;0.060;0.060;0.060;0.060;0.060;0.060;0.060;0.060;0.060;0.060
Голограмма JCB                              ;1;0.160;0.150;0.140;0.130;0.120;0.100;0.095;0.095;0.095;0.095;0.095
Премиальный логотип VISA                    ;1;0.150;0.150;0.150;0.100;0.100;0.070;0.050;0.050;0.050;0.050;0.050
Премиальный логотип MC                      ;1;0.450;0.450;0.450;0.400;0.400;0.400;0.400;0.400;0.400;0.250;0.250
Цветной пластик                             ;1;0.150;0.150;0.150;0.150;0.150;0.050;0.050;0.050;0.040;0.040;0.040
Прозрачный пластик (Блок Верилион)          ;1;0.300;0.300;0.300;0.300;0.200;0.200;0.200;0.200;0.200;0.200;0.200
Цветная магнитная полоса                    ;1;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020
Тиснение фольгой (штамп считается отдельно) ;1;0.500;0.500;0.500;0.200;0.200;0.100;0.100;0.050;0.050;0.030;0.030
Голографический пластик                     ;1;0.300;0.300;0.300;0.300;0.300;0.300;0.300;0.300;0.300;0.300;0.300
Надпечатка на МП                            ;1;0.100;0.060;0.030;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020
Лакировка                                   ;1;0.100;0.060;0.030;0.020;0.020;0.020;0.020;0.020;0.020;0.020;0.020

Kona2 C2200 gold                            ;2;0.136;0.136;0.136;0.136;0.136;0.136;0.136;0.136;0.136;0.136;0.136
Kona2 C2200 silver                          ;2;0.149;0.149;0.149;0.149;0.149;0.149;0.149;0.149;0.149;0.149;0.149
Приламинат (антенна)                        ;3;0.040;0.040;0.040;0.040;0.040;0.040;0.040;0.040;0.040;0.040;0.040
Kona2 D2320 gold                            ;2;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298
Kona2 D2320 silver                          ;2;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317;0.317
Kona2 D1081 gold                            ;2;0.329;0.329;0.329;0.329;0.329;0.329;0.329;0.329;0.329;0.329;0.329
Kona2 D1081 silver                          ;2;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349;0.349
Инфинион 080 gold                           ;2;0.335;0.335;0.335;0.335;0.335;0.335;0.335;0.335;0.335;0.335;0.335
Инфинион 080 silver                         ;2;0.351;0.351;0.351;0.351;0.351;0.351;0.351;0.351;0.351;0.351;0.351
Инфинион 016 gold                           ;2;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315;0.315
Инфинион 016 silver                         ;2;0.331;0.331;0.331;0.331;0.331;0.331;0.331;0.331;0.331;0.331;0.331

Эмбоссирование и запись МП                  ;4;0.230;0.190;0.150;0.110;0.090;0.070;0.050;0.030;0.020;0.020;0.020
Кодирование чипа                            ;4;0.500;0.500;0.500;0.110;0.110;0.110;0.110;0.110;0.110;0.110;0.110
Термопечать (штрих-код. номер)              ;4;0.050;0.040;0.030;0.020;0.010;0.008;0.007;0.006;0.006;0.006;0.006
Бланк пин-конверта                          ;4;0.030;0.030;0.030;0.030;0.030;0.030;0.030;0.030;0.030;0.030;0.030
Пин-печать                                  ;4;0.040;0.040;0.030;0.030;0.030;0.030;0.020;0.020;0.020;0.020;0.020

tax    ;0;18.0
charge ;0;10.0
euro   ;0;74.69
cross  ;0;1.13
